Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a064df2821542952336b26e,69e4f6a925fb3fcc0f622996,APPROVED,Not Applicable,2026-05-14T22:34:30.714000Z,2026-05-14T23:00:32.859000Z,2026-05-28T15:47:19.080000Z,2026-05-14T23:00:33.224022Z,1563.0,NOCODE,614,32,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
6a064dfaec2e172fa9677f77,69ee7fcbc2188c5c2203fd8c,APPROVED,Not Applicable,2026-05-14T22:34:55.772000Z,2026-05-14T22:51:49.409000Z,2026-05-28T15:47:19.445000Z,2026-05-14T22:51:49.756760Z,1014.0,NOCODE,197,39,Female,White,United States,United States,United States,English,No,Full-Time
6a064e05a3445a09400c31da,5adf874e066c510001d454f5,APPROVED,Not Applicable,2026-05-14T22:34:51.693000Z,2026-05-14T22:44:21.801000Z,2026-05-28T15:47:19.802000Z,2026-05-14T22:44:22.154678Z,571.0,NOCODE,3187,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6a064e060e776c65b14100e7,69fe7b7b6d1faa54f2e4b3fe,APPROVED,Not Applicable,2026-05-14T22:34:53.198000Z,2026-05-14T22:46:05.991000Z,2026-05-28T15:47:20.470000Z,2026-05-14T22:46:06.330104Z,673.0,NOCODE,70,38,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a064e06f0578dc3f3ff3e0f,5dd2f94a238a913096c52317,APPROVED,Not Applicable,2026-05-14T22:34:57.277000Z,2026-05-14T22:51:00.968000Z,2026-05-28T15:47:21.056000Z,2026-05-14T22:51:01.307662Z,964.0,5dd2f94a238a913096c52317,14859,44,Female,White,United States,United States,United States,English,No,Full-Time
6a064e2cfb20e816e2545866,6966aef7933ed17148cf77d0,APPROVED,Not Applicable,2026-05-14T22:35:28.988000Z,2026-05-14T22:44:53.920000Z,2026-05-28T15:47:21.726000Z,2026-05-14T22:44:54.291023Z,565.0,https://oliverlee000.github.io/ling245b-final-project/experiment/reading_task.html?PROLIFIC_PID=6966aef7933ed17148cf77d0&amp;STUDY_ID=6a04f72bb0f4a868caeeb473&amp;SESSION_ID=6a064e2cfb20e816e2545866,966,30,Male,Asian,United States,United States,United States,English,Yes,Full-Time
6a064e78f81b510422c5b609,69d59bb26cbbb9ca14a5eb04,APPROVED,Not Applicable,2026-05-14T22:37:05.941000Z,2026-05-14T22:53:16.739000Z,2026-05-28T15:47:23.878000Z,2026-05-14T22:53:17.241484Z,971.0,NOCODE,1011,32,Female,White,United States,United States,United States,English,No,Other
6a064ef29f50d39a9faa0886,6a035da79733fbc8b952b809,APPROVED,Not Applicable,2026-05-14T22:38:46.951000Z,2026-05-14T22:52:57.201000Z,2026-05-28T15:47:24.781000Z,2026-05-14T22:52:57.541602Z,851.0,NOCODE,50,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a064f5df885600efc98f29e,5ec0ba1bfa01894cceaa1b8e,APPROVED,Not Applicable,2026-05-14T22:40:36.622000Z,2026-05-14T22:58:37.821000Z,2026-05-28T15:47:25.569000Z,2026-05-14T22:58:38.172223Z,1082.0,XXXXXXX,8350,36,Female,White,United States,United States,United States,English,No,Full-Time
6a064f60e6d912e74e637bb0,62d6e24cf74647ef51a16300,APPROVED,Not Applicable,2026-05-14T22:40:36.072000Z,2026-05-14T22:53:59.307000Z,2026-05-28T15:47:26.463000Z,2026-05-14T22:53:59.674310Z,804.0,NOCODE,3607,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6a064f638fdb30f414085f29,69e02738033dffda2b0a52cd,APPROVED,Not Applicable,2026-05-14T22:40:39.565000Z,2026-05-14T22:51:40.240000Z,2026-05-28T15:47:27.399000Z,2026-05-14T22:51:40.600215Z,661.0,NOCODE,27,19,Male,Asian,United States,United States,United States,English,Yes,Part-Time
6a064fdd9fd347dc90585446,6965607e750428c9c80c803a,APPROVED,Not Applicable,2026-05-14T22:42:41.753000Z,2026-05-14T22:56:20.400000Z,2026-05-28T15:47:28.058000Z,2026-05-14T22:56:20.805107Z,819.0,NOCODE,859,38,Male,White,United States,United States,United States,English,No,Other
6a064feeb114461cf267f91d,622f7f35376a1f92763ddbe2,APPROVED,Not Applicable,2026-05-14T22:47:06.092000Z,2026-05-14T23:11:23.506000Z,2026-05-28T15:47:28.385000Z,2026-05-14T23:11:23.850069Z,1458.0,NOCODE,9126,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a05506cb46007c7484630c1,5dd3bfcd8b8df139ce007928,RETURNED,Not Applicable,2026-05-14T04:35:50.610000Z,,,,,,11176,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
